# CPDE-S4.0 RATIFICATION CENSUS (observe-only; the real check_ratification path)
# state: certified POST-1340 preview ledger state, point slot 115776011
# boundary: 1340 -> 1341 (ratification evaluated as of ending_epoch 1340)
# authority: committee 8 members / quorum 2/3 (IMPORTED); drep_thresholds=[] pool_thresholds=[] drep_stake=[] (NOT imported)
# fields: gov_action_id | kind | proposed_in | expires_after | expiring | committee_active/size | committee_yes | drep_inputs | spo_inputs | observation
10d9e2c406e23a6c740fa881a804431585434ff0262bdbbc52eb977da6ec2053#0 | TreasuryWithdrawals | 1322 | 1352 | N | 3/8 | 0 | N | N | PresentGateFailed
178a410703c9a88d38acc8e7e00217722f98e697c826ebd105e0c5beaf32e00f#0 | InfoAction | 1339 | 1369 | N | 3/8 | 0 | N | N | InfoActionNeverEnacts
26c33f9415f442ea37a1a9d34066e94b59a25f39c17d7fe193c46a764aea6c6c#0 | TreasuryWithdrawals | 1331 | 1361 | N | 3/8 | 0 | N | N | PresentGateFailed
2724a03dad5602cfe8d08dcb2d2a3faf2d6f15033190dda56a81526dabf135b8#0 | InfoAction | 1330 | 1360 | N | 3/8 | 0 | N | N | InfoActionNeverEnacts
4e158bb4a6b434778115e02421b8b32be7363e74a793e9078949a49dd3fbd12f#0 | TreasuryWithdrawals | 1317 | 1347 | N | 3/8 | 0 | N | N | PresentGateFailed
57bb313c50a311756f9632d657bdc2ccc01e718929e6f7df9725ab3ac27045c0#0 | TreasuryWithdrawals | 1312 | 1342 | N | 3/8 | 0 | N | N | PresentGateFailed
64e677f65e4cabd00383b7171dd4d9674d998db5aa67b16d4c770304c60bdec3#0 | InfoAction | 1330 | 1360 | N | 3/8 | 0 | N | N | InfoActionNeverEnacts
b0069ac97b2e5522a6ca3bb3723356e25915fec7ca202b79788c3439608ba3e7#0 | TreasuryWithdrawals | 1309 | 1339 | Y | 3/8 | 0 | N | N | PresentGateFailed
b1d1e5bef717d366173882c0fc48517def38c7f88fdf26bb7fdf3865dbab5bcc#0 | ParameterChange | 1334 | 1364 | N | 3/8 | 0 | N | N | PresentGateFailed
b31cb31e90e78def29e99d1933f9ee6c08a0b23a91580b6b5bf55e4127be9bed#0 | InfoAction | 1338 | 1368 | N | 3/8 | 0 | N | N | InfoActionNeverEnacts
bd9e02b82cabada66ab168815a13be29f86d3914ea88f7f9d7747170d04d6998#0 | TreasuryWithdrawals | 1338 | 1368 | N | 3/8 | 0 | N | N | PresentGateFailed
bfa9eb84428ecf6e59668f15e7e9af90594724c5993d48a6e3502bdd81afd4fc#0 | TreasuryWithdrawals | 1331 | 1361 | N | 3/8 | 0 | N | N | PresentGateFailed
c7c573f0503f7d8179b4c4c448a5039758be89e3663086b03ea8884f7189b685#0 | TreasuryWithdrawals | 1309 | 1339 | Y | 3/8 | 0 | N | N | PresentGateFailed
c7f699822e3f581eb7c3e10af4000da0f7a3798321aef86c8a1529eca089029a#0 | TreasuryWithdrawals | 1339 | 1369 | N | 3/8 | 0 | N | N | PresentGateFailed
d236d9acd2962412b6c185f1b9843c5e4abe9d09b232aae620199e0c74c26b2f#0 | TreasuryWithdrawals | 1336 | 1366 | N | 3/8 | 0 | N | N | PresentGateFailed
d236d9acd2962412b6c185f1b9843c5e4abe9d09b232aae620199e0c74c26b2f#1 | TreasuryWithdrawals | 1336 | 1366 | N | 3/8 | 0 | N | N | PresentGateFailed
d236d9acd2962412b6c185f1b9843c5e4abe9d09b232aae620199e0c74c26b2f#2 | TreasuryWithdrawals | 1336 | 1366 | N | 3/8 | 0 | N | N | PresentGateFailed
d236d9acd2962412b6c185f1b9843c5e4abe9d09b232aae620199e0c74c26b2f#3 | TreasuryWithdrawals | 1336 | 1366 | N | 3/8 | 0 | N | N | PresentGateFailed
d236d9acd2962412b6c185f1b9843c5e4abe9d09b232aae620199e0c74c26b2f#4 | TreasuryWithdrawals | 1336 | 1366 | N | 3/8 | 0 | N | N | PresentGateFailed
d236d9acd2962412b6c185f1b9843c5e4abe9d09b232aae620199e0c74c26b2f#5 | TreasuryWithdrawals | 1336 | 1366 | N | 3/8 | 0 | N | N | PresentGateFailed
d236d9acd2962412b6c185f1b9843c5e4abe9d09b232aae620199e0c74c26b2f#6 | TreasuryWithdrawals | 1336 | 1366 | N | 3/8 | 0 | N | N | PresentGateFailed
d236d9acd2962412b6c185f1b9843c5e4abe9d09b232aae620199e0c74c26b2f#7 | TreasuryWithdrawals | 1336 | 1366 | N | 3/8 | 0 | N | N | PresentGateFailed
d236d9acd2962412b6c185f1b9843c5e4abe9d09b232aae620199e0c74c26b2f#8 | TreasuryWithdrawals | 1336 | 1366 | N | 3/8 | 0 | N | N | PresentGateFailed
